"","Admitted","Disposition_binary","Place","F_Aid","Species_e","Sex_e","Age_e","Brought_in_after","season","r","Green_Orange","ID","Species_group","Admitted_date"
"3850","6/24/2005","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","2933_ANHU","Non-Selasphorus",2005-06-24
"3851","11/6/2006","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","3166_ANHU","Non-Selasphorus",2006-11-06
"3852","8/5/2011","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","4289_ANHU","Non-Selasphorus",2011-08-05
"3853","6/3/2006","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","found on the ground","Non-selasphorus spp.","3100_ANHU","Selasphorus",2006-06-03
"3854","3/6/2016","Died","Santa Barbara","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","6847_ANHU","Non-Selasphorus",2016-03-06
"3855","5/7/1995","Died","Lindsey","No","Selasphorus","unknown","Nestling",0,"Spring","caught by domestic animal","Selasphorus spp.","836_ALHU","Selasphorus",1995-05-07
"3856","6/5/1996","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","unknown","Non-selasphorus spp.","1068_ANHU","Selasphorus",1996-06-05
"3857","11/25/2006","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","3172_ANHU","Non-Selasphorus",2006-11-25
"3858","6/19/2014","Died","malibu","Yes","ANHU","Female-like ","adult-like",4,"Summer","unknown","Non-selasphorus spp.","6144_ANHU","Non-Selasphorus",2014-06-19
"3859","5/6/2014","Released","malibu","No","Selasphorus","Female-like ","adult-like",0,"Spring","unknown","Selasphorus spp.","6218_ALHU","Selasphorus",2014-05-06
"3860","7/21/2000","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","1895_ANHU","Non-Selasphorus",2000-07-21
"3861","9/12/2012","Died","Lindsey","No","ANHU","Male","adult-like",0,"Fall","unknown","Non-selasphorus spp.","4567_ANHU","Non-Selasphorus",2012-09-12
"3862","2/16/2000","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Winter","nest-related","Non-selasphorus spp.","1739_ANHU","Selasphorus",2000-02-16
"3863","8/17/2011","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","suspect torpor-like state","Non-selasphorus spp.","4300_ANHU","Non-Selasphorus",2011-08-17
"3864","2/18/2002","Released","Lindsey","No","ANHU","Female-like ","adult-like",1,"Winter","found on the ground","Non-selasphorus spp.","2158_ANHU","Non-Selasphorus",2002-02-18
"3865","5/20/2015","Released","malibu","No","BCHU","Female-like ","adult-like",0,"Spring","unknown","Non-selasphorus spp.","6607_BCHU","Non-Selasphorus",2015-05-20
"3866","4/1/2003","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","2433_ANHU","Non-Selasphorus",2003-04-01
"3867","3/3/2016","Released","malibu","No","Selasphorus","unknown","Nestling",4,"Spring","nest-related","Selasphorus spp.","6680_ALHU","Selasphorus",2016-03-03
"3868","9/23/2013","Died","malibu","No","ANHU","Female-like ","adult-like",3,"Fall","unknown","Non-selasphorus spp.","5894_ANHU","Non-Selasphorus",2013-09-23
"3869","4/9/1999","Released","Lindsey","No","ANHU","Female-like ","adult-like",1,"Spring","window hit","Non-selasphorus spp.","1582_ANHU","Non-Selasphorus",1999-04-09
"3870","12/16/2012","Died","Lindsey","No","ANHU","Male","adult-like",0,"Winter","window hit","Non-selasphorus spp.","4586_ANHU","Non-Selasphorus",2012-12-16
"3871","6/16/2016","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","unknown","Non-selasphorus spp.","5648_ANHU","Non-Selasphorus",2016-06-16
"3872","3/19/2016","Released","Santa Barbara","No","Selasphorus","unknown","Nestling",0,"Spring","nest-related","Selasphorus spp.","6853_ALHU","Selasphorus",2016-03-19
"3873","4/9/2015","Died","Lindsey","Yes","ANHU","Male","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","5259_ANHU","Non-Selasphorus",2015-04-09
"3874","3/19/2005","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Spring","found on the ground","Non-selasphorus spp.","2821_ANHU","Non-Selasphorus",2005-03-19
